"team_name","date","match","competition","player","periode","segment","goalkeeper_but_coup_franc","goalkeeper_but_coup_franc_courtes","goalkeeper_but_coup_franc_longues","goalkeeper_buts_concedes","goalkeeper_passes_courtes_precises","goalkeeper_passes_courtes_total","goalkeeper_passes_longues_precises","goalkeeper_passes_longues_total","goalkeeper_place","goalkeeper_sorties_total","goalkeeper_tirs_contre_cadres","goalkeeper_tirs_contre_total","goalkeeper_xcg"
AL AHLI,2021-12-26,Aston Villa - Chelsea 1:3,England. Premier League,Edouard Mendy,"1ére mi temps","3éme 15 min",0,0,0,0,1,1,1,1,GK,0,1,1,0.0
NEOM,2018-12-04,Benfica U23 - Sporting CP U23 1:1,Portugal. Liga Revelação Sub 23,Luís Maximiano,"2éme mi temps","2éme 15 min",1,0,1,1,0,0,0,0,GK,0,0,1,0.81
AL AHLI,2020-01-24,Nice - Rennes 1:1,France. Ligue 1,Edouard Mendy,"2éme mi temps","3éme 15 min",1,0,1,0,2,2,2,3,GK,0,2,2,0.19
AL AHLI,2016-04-30,Nice II - Olympique Marseille II 2:1,France. National 2,Edouard Mendy,"1ére mi temps","3éme 15 min",1,1,0,0,7,7,0,0,GK,0,1,1,0.13
NEOM,2020-02-23,Sporting CP - Boavista 2:0,Portugal. Primeira Liga,Luís Maximiano,"2éme mi temps",mitemps complet,6,1,5,0,5,5,3,5,GK,1,2,2,0.17
AL HAZEM,2022-10-08,Paços de Ferreira - Vitória Guimarães 0:1,Portugal. Primeira Liga,Bruno Varela,"2éme mi temps",mitemps complet,9,0,9,0,0,0,3,3,GK,4,1,1,0.28
AL HAZEM,2022-10-31,Vitória Guimarães - Famalicão 3:2,Portugal. Primeira Liga,Bruno Varela,"1ére mi temps","3éme 15 min",0,0,0,0,0,0,1,1,GK,0,0,0,0.0
NEOM,2023-11-10,Montpellier - Nice 0:0,France. Ligue 1,Marcin  Bułka,"2éme mi temps","3éme 15 min",0,0,0,0,0,0,2,2,GK,0,0,0,0.0
NEOM,2019-11-28,Sporting CP - PSV 4:0,Europe. UEFA Europa League,Luís Maximiano,"2éme mi temps","2éme 15 min",3,3,0,0,2,2,0,0,GK,0,0,0,0.0
NEOM,2017-10-18,Chelsea U19 - Roma U19 0:2,Europe. UEFA Youth League,Marcin  Bułka,"2éme mi temps","3éme 15 min",0,0,0,0,1,1,0,0,GK,1,0,0,0.0
NEOM,2025-01-03,Nice - Rennes 3:2,France. Ligue 1,Marcin  Bułka,"2éme mi temps",mitemps complet,1,1,0,1,12,12,6,7,GK,1,2,3,1.59
AL HAZEM,2023-12-16,Boavista - Vitória Guimarães 1:1,Portugal. Primeira Liga,Bruno Varela,"1ére mi temps","2éme 15 min",2,0,2,0,1,1,1,1,GK,0,0,0,0.0
AL HAZEM,2024-04-03,Vitória Guimarães - Porto 0:1,Portugal. Taça de Portugal,Bruno Varela,"1ére mi temps","3éme 15 min",0,0,0,0,1,1,0,0,GK,0,0,0,0.0
NEOM,2021-02-12,Al Faisaly - Al Wahda 2:4,Saudi Arabia. Pro League,Mustafa Malayekah,"1ére mi temps",mitemps complet,1,1,0,1,7,7,3,5,GK,0,0,1,0.81
AL AHLI,2020-10-20,Chelsea - Sevilla 0:0,Europe. UEFA Champions League,Edouard Mendy,"2éme mi temps",mitemps complet,5,2,3,0,8,8,1,4,GK,1,0,0,0.0
AL HAZEM,2024-05-18,Arouca - Vitória Guimarães 1:3,Portugal. Primeira Liga,Bruno Varela,"1ére mi temps","3éme 15 min",0,0,0,0,2,2,0,0,GK,0,2,2,0.1
NEOM,2021-09-20,Barcelona - Granada 1:1,Spain. La Liga,Luís Maximiano,"1ére mi temps","2éme 15 min",2,1,1,0,0,0,1,1,GK,1,0,0,0.0
AL AHLI,2024-02-16,Al Akhdoud - Al Ahli 3:2,Saudi Arabia. Pro League,Edouard Mendy,"2éme mi temps","3éme 15 min",0,0,0,0,6,6,0,0,GK,0,0,0,0.0
NEOM,2020-12-22,Al Faisaly - Al Ettifaq 0:3,Saudi Arabia. Pro League,Mustafa Malayekah,"1ére mi temps","3éme 15 min",1,0,1,0,0,0,0,1,GK,2,0,0,0.0
NEOM,2019-08-30,Metz - PSG 0:2,France. Ligue 1,Marcin  Bułka,"2éme mi temps",mitemps complet,1,1,0,0,6,6,0,0,GK,1,2,2,0.16
AL HAZEM,2016-08-12,Al Faisaly - Al Khaleej 3:1,Saudi Arabia. Pro League,Ibrahim Zaid,"2éme mi temps","3éme 15 min",3,0,3,0,0,0,2,2,GK,1,0,0,0.0
NEOM,2024-05-15,Nice - PSG 1:2,France. Ligue 1,Marcin  Bułka,"1ére mi temps",mitemps complet,0,0,0,2,15,15,4,4,GK,1,1,3,1.05
NEOM,2023-12-17,Almería - Mallorca 0:0,Spain. La Liga,Luís Maximiano,"1ére mi temps","3éme 15 min",2,1,1,0,6,6,0,0,GK,1,2,2,1.11
