date_key,date,year,quarter,month,month_name,week_of_year,day,day_of_week,day_name,is_weekend,season,created_at
20150108,2015-01-08,2015,1,1,January,2,8,4,Thursday,False,2014-2015,2025-11-09 00:00:00+00:00
20150110,2015-01-10,2015,1,1,January,2,10,6,Saturday,True,2014-2015,2025-11-09 00:00:00+00:00
20150112,2015-01-12,2015,1,1,January,3,12,1,Monday,False,2014-2015,2025-11-09 00:00:00+00:00
20150208,2015-02-08,2015,1,2,February,6,8,7,Sunday,True,2014-2015,2025-11-09 00:00:00+00:00
20150210,2015-02-10,2015,1,2,February,7,10,2,Tuesday,False,2014-2015,2025-11-09 00:00:00+00:00
20150211,2015-02-11,2015,1,2,February,7,11,3,Wednesday,False,2014-2015,2025-11-09 00:00:00+00:00
20150212,2015-02-12,2015,1,2,February,7,12,4,Thursday,False,2014-2015,2025-11-09 00:00:00+00:00
20150309,2015-03-09,2015,1,3,March,11,9,1,Monday,False,2014-2015,2025-11-09 00:00:00+00:00
20150310,2015-03-10,2015,1,3,March,11,10,2,Tuesday,False,2014-2015,2025-11-09 00:00:00+00:00
20150311,2015-03-11,2015,1,3,March,11,11,3,Wednesday,False,2014-2015,2025-11-09 00:00:00+00:00
20150312,2015-03-12,2015,1,3,March,11,12,4,Thursday,False,2014-2015,2025-11-09 00:00:00+00:00
20150410,2015-04-10,2015,2,4,April,15,10,5,Friday,False,2014-2015,2025-11-09 00:00:00+00:00
20150411,2015-04-11,2015,2,4,April,15,11,6,Saturday,True,2014-2015,2025-11-09 00:00:00+00:00
20150412,2015-04-12,2015,2,4,April,15,12,7,Sunday,True,2014-2015,2025-11-09 00:00:00+00:00
20150508,2015-05-08,2015,2,5,May,19,8,5,Friday,False,2014-2015,2025-11-09 00:00:00+00:00
20150509,2015-05-09,2015,2,5,May,19,9,6,Saturday,True,2014-2015,2025-11-09 00:00:00+00:00
20150511,2015-05-11,2015,2,5,May,20,11,1,Monday,False,2014-2015,2025-11-09 00:00:00+00:00
20150512,2015-05-12,2015,2,5,May,20,12,2,Tuesday,False,2014-2015,2025-11-09 00:00:00+00:00
20150607,2015-06-07,2015,2,6,June,23,7,7,Sunday,True,2014-2015,2025-11-09 00:00:00+00:00
20150608,2015-06-08,2015,2,6,June,24,8,1,Monday,False,2014-2015,2025-11-09 00:00:00+00:00
20150609,2015-06-09,2015,2,6,June,24,9,2,Tuesday,False,2014-2015,2025-11-09 00:00:00+00:00
20150611,2015-06-11,2015,2,6,June,24,11,4,Thursday,False,2014-2015,2025-11-09 00:00:00+00:00
20150612,2015-06-12,2015,2,6,June,24,12,5,Friday,False,2014-2015,2025-11-09 00:00:00+00:00
20150711,2015-07-11,2015,3,7,July,28,11,6,Saturday,True,2015-2016,2025-11-09 00:00:00+00:00
20150808,2015-08-08,2015,3,8,August,32,8,6,Saturday,True,2015-2016,2025-11-09 00:00:00+00:00
20150809,2015-08-09,2015,3,8,August,32,9,7,Sunday,True,2015-2016,2025-11-09 00:00:00+00:00
20150810,2015-08-10,2015,3,8,August,33,10,1,Monday,False,2015-2016,2025-11-09 00:00:00+00:00
20150811,2015-08-11,2015,3,8,August,33,11,2,Tuesday,False,2015-2016,2025-11-09 00:00:00+00:00
20150812,2015-08-12,2015,3,8,August,33,12,3,Wednesday,False,2015-2016,2025-11-09 00:00:00+00:00
20150907,2015-09-07,2015,3,9,September,37,7,1,Monday,False,2015-2016,2025-11-09 00:00:00+00:00
20150908,2015-09-08,2015,3,9,September,37,8,2,Tuesday,False,2015-2016,2025-11-09 00:00:00+00:00
20150910,2015-09-10,2015,3,9,September,37,10,4,Thursday,False,2015-2016,2025-11-09 00:00:00+00:00
20150911,2015-09-11,2015,3,9,September,37,11,5,Friday,False,2015-2016,2025-11-09 00:00:00+00:00
20150912,2015-09-12,2015,3,9,September,37,12,6,Saturday,True,2015-2016,2025-11-09 00:00:00+00:00
20151007,2015-10-07,2015,4,10,October,41,7,3,Wednesday,False,2015-2016,2025-11-09 00:00:00+00:00
20151010,2015-10-10,2015,4,10,October,41,10,6,Saturday,True,2015-2016,2025-11-09 00:00:00+00:00
20151012,2015-10-12,2015,4,10,October,42,12,1,Monday,False,2015-2016,2025-11-09 00:00:00+00:00
20151109,2015-11-09,2015,4,11,November,46,9,1,Monday,False,2015-2016,2025-11-09 00:00:00+00:00
20151110,2015-11-10,2015,4,11,November,46,10,2,Tuesday,False,2015-2016,2025-11-09 00:00:00+00:00
20151112,2015-11-12,2015,4,11,November,46,12,4,Thursday,False,2015-2016,2025-11-09 00:00:00+00:00
20151207,2015-12-07,2015,4,12,December,50,7,1,Monday,False,2015-2016,2025-11-09 00:00:00+00:00
20151208,2015-12-08,2015,4,12,December,50,8,2,Tuesday,False,2015-2016,2025-11-09 00:00:00+00:00
20151209,2015-12-09,2015,4,12,December,50,9,3,Wednesday,False,2015-2016,2025-11-09 00:00:00+00:00
20151211,2015-12-11,2015,4,12,December,50,11,5,Friday,False,2015-2016,2025-11-09 00:00:00+00:00
20151212,2015-12-12,2015,4,12,December,50,12,6,Saturday,True,2015-2016,2025-11-09 00:00:00+00:00
20160103,2016-01-03,2016,1,1,January,53,3,7,Sunday,True,2015-2016,2025-11-09 00:00:00+00:00
20160104,2016-01-04,2016,1,1,January,1,4,1,Monday,False,2015-2016,2025-11-09 00:00:00+00:00
20160105,2016-01-05,2016,1,1,January,1,5,2,Tuesday,False,2015-2016,2025-11-09 00:00:00+00:00
20160106,2016-01-06,2016,1,1,January,1,6,3,Wednesday,False,2015-2016,2025-11-09 00:00:00+00:00
20160108,2016-01-08,2016,1,1,January,1,8,5,Friday,False,2015-2016,2025-11-09 00:00:00+00:00
20160109,2016-01-09,2016,1,1,January,1,9,6,Saturday,True,2015-2016,2025-11-09 00:00:00+00:00
20160110,2016-01-10,2016,1,1,January,1,10,7,Sunday,True,2015-2016,2025-11-09 00:00:00+00:00
