match_key,match_date,home_team_key,away_team_key,competition_key,date_key,score,season,has_gps_data,has_wyscout_data,has_sportdb_data,created_at
1,2021-12-26,,,53,,,,False,True,False,2025-11-09 00:00:00+00:00
2,2018-12-04,,,125,20181204.0,,2018-2019,False,True,False,2025-11-09 00:00:00+00:00
3,2020-01-24,,,85,,,,False,True,False,2025-11-09 00:00:00+00:00
4,2016-04-30,,,87,,,,False,True,False,2025-11-09 00:00:00+00:00
5,2020-02-23,,,126,,,,False,True,False,2025-11-09 00:00:00+00:00
6,2022-10-08,,,126,20221008.0,,2022-2023,False,True,False,2025-11-09 00:00:00+00:00
7,2022-10-31,,,126,,,,False,True,False,2025-11-09 00:00:00+00:00
8,2023-11-10,,,85,,,,False,True,False,2025-11-09 00:00:00+00:00
9,2019-11-28,,,66,,,,False,True,False,2025-11-09 00:00:00+00:00
10,2017-10-18,,,81,,,,False,True,False,2025-11-09 00:00:00+00:00
11,2025-01-03,,,85,20250103.0,,2024-2025,False,True,False,2025-11-09 00:00:00+00:00
12,2023-12-16,,,126,,,,False,True,False,2025-11-09 00:00:00+00:00
13,2024-04-03,,,130,20240403.0,,2023-2024,False,True,False,2025-11-09 00:00:00+00:00
14,2021-02-12,,,140,20210212.0,,2020-2021,False,True,False,2025-11-09 00:00:00+00:00
15,2020-10-20,,,64,,,,False,True,False,2025-11-09 00:00:00+00:00
16,2024-05-18,,,126,,,,False,True,False,2025-11-09 00:00:00+00:00
17,2021-09-20,,,161,,,,False,True,False,2025-11-09 00:00:00+00:00
18,2024-02-16,,,140,,,,False,True,False,2025-11-09 00:00:00+00:00
19,2020-12-22,,,140,,,,False,True,False,2025-11-09 00:00:00+00:00
20,2019-08-30,,,85,,,,False,True,False,2025-11-09 00:00:00+00:00
21,2016-08-12,,,140,20160812.0,,2016-2017,False,True,False,2025-11-09 00:00:00+00:00
22,2024-05-15,,,85,,,,False,True,False,2025-11-09 00:00:00+00:00
23,2023-12-17,,,161,,,,False,True,False,2025-11-09 00:00:00+00:00
24,2025-02-01,,,126,,,,False,True,False,2025-11-09 00:00:00+00:00
25,2020-11-23,,,130,,,,False,True,False,2025-11-09 00:00:00+00:00
26,2022-04-03,,,161,20220403.0,,2021-2022,False,True,False,2025-11-09 00:00:00+00:00
27,2025-09-18,,15.0,140,,1:0,,False,True,False,2025-11-09 00:00:00+00:00
28,2025-02-24,,,126,,,,False,True,False,2025-11-09 00:00:00+00:00
29,2019-01-26,,,85,,,,False,True,False,2025-11-09 00:00:00+00:00
30,2020-12-15,,,129,,,,False,True,False,2025-11-09 00:00:00+00:00
31,2025-01-19,,,164,,,,False,True,False,2025-11-09 00:00:00+00:00
32,2019-09-25,,,85,,,,False,True,False,2025-11-09 00:00:00+00:00
33,2020-12-13,,,130,,,,False,True,False,2025-11-09 00:00:00+00:00
34,2025-01-17,,,85,,,,False,True,False,2025-11-09 00:00:00+00:00
35,2025-01-21,,,136,,,,False,True,False,2025-11-09 00:00:00+00:00
36,2021-11-06,,,126,20211106.0,,2021-2022,False,True,False,2025-11-09 00:00:00+00:00
37,2021-10-30,,,53,,,,False,True,False,2025-11-09 00:00:00+00:00
